faa,name,lat,lon
CLT,CLT Airport,35.2140007019043,-80.94309997558594
CRP,CRP Airport,27.77039909362793,-97.5011978149414
IAH,IAH Airport,29.984399795532227,-95.34140014648438
SDF,SDF Airport,38.1744,-85.736
LGB,LGB Airport,33.81769943,-118.1520004
LAS,LAS Airport,36.08010101,-115.1520004
ROW,ROW Airport,33.30160140991211,-104.53099822998048
ABE,ABE Airport,40.652099609375,-75.44080352783203
SPI,SPI Airport,39.84410095,-89.67790222
IDA,IDA Airport,43.514599,-112.070999
TXK,TXK Airport,33.45370101928711,-93.99099731445312
RAP,RAP Airport,44.0452995300293,-103.05699920654295
CAK,CAK Airport,40.91609954833984,-81.44219970703125
SMF,SMF Airport,38.69540023803711,-121.59100341796876
OTZ,OTZ Airport,66.88469696,-162.598999
GTR,GTR Airport,33.450298309299995,-88.5914001465
MDW,MDW Airport,41.785999,-87.752403
MOT,MOT Airport,48.2593994140625,-101.27999877929688
OWB,OWB Airport,37.74010086,-87.16680145
SPN,SPN Airport,15.119,145.729004
PIB,PIB Airport,31.467100143432617,-89.33709716796875
OTH,OTH Airport,43.41709899902344,-124.24600219726562
DDC,DDC Airport,37.76340103149414,-99.9655990600586
RKS,RKS Airport,41.5942,-109.065001
PUB,PUB Airport,38.289100646972656,-104.49700164794922
MCO,MCO Airport,28.429399490356445,-81.30899810791016
FLO,FLO Airport,34.18539810180664,-79.7238998413086
ATL,ATL Airport,33.6367,-84.428101
BNA,BNA Airport,36.1245002746582,-86.6781997680664
PVD,PVD Airport,41.732601,-71.420403
ALB,ALB Airport,42.74829864501953,-73.80169677734375
HTS,HTS Airport,38.36669922,-82.55799866
YUM,YUM Airport,32.65660095,-114.6060028
LBB,LBB Airport,33.663601,-101.822998
MFE,MFE Airport,26.17580032,-98.23860168
CWA,CWA Airport,44.7775993347,-89.6668014526
FAI,FAI Airport,64.81510162,-147.8560028
EAT,EAT Airport,47.3988990784,-120.207000732
BRW,BRW Airport,71.285402,-156.766008
PSE,PSE Airport,18.00830078125,-66.56300354003906
BQN,BQN Airport,18.49489974975586,-67.12940216064453
ABR,ABR Airport,45.449100494384766,-98.42179870605467
ACY,ACY Airport,39.45759963989258,-74.57720184326172
COD,COD Airport,44.520198822,-109.024002075
PQI,PQI Airport,46.68899918,-68.0447998
JST,JST Airport,40.31610107421875,-78.83390045166016
CMH,CMH Airport,39.998001,-82.891899
DTW,DTW Airport,42.212398529052734,-83.35340118408203
ANC,ANC Airport,61.17440032958984,-149.99600219726562
CLE,CLE Airport,41.4117012024,-81.8498001099
ILM,ILM Airport,34.270599365234375,-77.90260314941406
OKC,OKC Airport,35.39310073852539,-97.60070037841795
PGV,PGV Airport,35.6352005,-77.38529968
SJC,SJC Airport,37.362598,-121.929001
ECP,ECP Airport,30.357106,-85.795414
HSV,HSV Airport,34.637199401855,-86.775100708008
ITH,ITH Airport,42.49100112915039,-76.4583969116211
BUR,BUR Airport,34.20069885253906,-118.35900115966795
FSM,FSM Airport,35.33660125732422,-94.36740112304688
GNV,GNV Airport,29.6900997162,-82.2717971802
DAB,DAB Airport,29.179899,-81.058098
GEG,GEG Airport,47.61989974975586,-117.53399658203124
AVP,AVP Airport,41.3385009766,-75.72339630130001
ATW,ATW Airport,44.2580986023,-88.5190963745
SGU,SGU Airport,37.036389,-113.510306
ISP,ISP Airport,40.79520035,-73.10019684
LCH,LCH Airport,30.126100540161133,-93.22329711914062
HLN,HLN Airport,46.6068000793457,-111.98300170898438
DLH,DLH Airport,46.8420982361,-92.1936035156
GFK,GFK Airport,47.949299,-97.176102
SWF,SWF Airport,41.50410079956055,-74.10479736328125
RFD,RFD Airport,42.19540023803711,-89.09719848632812
CKB,CKB Airport,39.2966003418,-80.2281036377
HGR,HGR Airport,39.707901,-77.72949982
LBE,LBE Airport,40.27590179,-79.40480042
JMS,JMS Airport,46.92969894,-98.67819977
VCT,VCT Airport,28.85260009765625,-96.9185028076172
PNS,PNS Airport,30.473400115967,-87.186599731445
SAV,SAV Airport,32.12760162,-81.20210266
RST,RST Airport,43.90829849243164,-92.5
MFR,MFR Airport,42.37419891357422,-122.8730010986328
MAF,MAF Airport,31.9424991607666,-102.2020034790039
ABI,ABI Airport,32.4113006592,-99.6819000244
DAY,DAY Airport,39.90240097045898,-84.21939849853516
LSE,LSE Airport,43.879002,-91.256699
AMA,AMA Airport,35.219398,-101.706001
RDM,RDM Airport,44.2541008,-121.1500015
BRO,BRO Airport,25.90679931640625,-97.4259033203125
LAN,LAN Airport,42.77870178222656,-84.58740234375
CHA,CHA Airport,35.035301208496094,-85.20379638671875
LYH,LYH Airport,37.326698303222656,-79.20040130615234
SNA,SNA Airport,33.67570114,-117.8679962
TLH,TLH Airport,30.396499633789062,-84.35030364990234
SJT,SJT Airport,31.35770034790039,-100.49600219726562
SBA,SBA Airport,34.42620087,-119.8399963
ACV,ACV Airport,40.978101,-124.109
GRB,GRB Airport,44.48509979248047,-88.12960052490234
GRI,GRI Airport,40.96749877929688,-98.30960083007812
ESC,ESC Airport,45.7226982117,-87.0936965942
SCK,SCK Airport,37.894199371338,-121.2379989624
USA,USA Airport,35.387798,-80.709099
SMX,SMX Airport,34.89889908,-120.4570007
EAU,EAU Airport,44.86579895019531,-91.48429870605467
SUX,SUX Airport,42.40259933,-96.38439941
PHL,PHL Airport,39.87189865112305,-75.24109649658203
IND,IND Airport,39.7173,-86.294403
SWO,SWO Airport,36.161201477051,-97.08570098877
CVG,CVG Airport,39.0488014221,-84.6678009033
RDU,RDU Airport,35.87760162353516,-78.7874984741211
LEX,LEX Airport,38.0364990234375,-84.60590362548828
MCI,MCI Airport,39.2976,-94.713898
RSW,RSW Airport,26.53619956970215,-81.75520324707031
TVC,TVC Airport,44.74140167236328,-85.58219909667969
FCA,FCA Airport,48.31050109863281,-114.25599670410156
BPT,BPT Airport,29.9507999420166,-94.02069854736328
DAL,DAL Airport,32.847099,-96.851799
SIT,SIT Airport,57.04710006713867,-135.36199951171875
PLN,PLN Airport,45.57089996,-84.79669952
BRD,BRD Airport,46.39830017,-94.13809967
AZA,AZA Airport,33.30780029,-111.6549988
PRC,PRC Airport,34.65449905,-112.4199982
BFF,BFF Airport,41.87400055,-103.5960007
FWA,FWA Airport,40.97850037,-85.19509888
PHX,PHX Airport,33.43429946899414,-112.01200103759766
BWI,BWI Airport,39.1754,-76.668297
BDL,BDL Airport,41.9388999939,-72.68319702149999
SAT,SAT Airport,29.533700942993164,-98.46980285644533
HOU,HOU Airport,29.64539909,-95.27890015
ELP,ELP Airport,31.80719948,-106.3779984
SYR,SYR Airport,43.11119842529297,-76.1063003540039
ASE,ASE Airport,39.22320175,-106.8690033
FAT,FAT Airport,36.77619934082031,-119.71800231933594
MLB,MLB Airport,28.10280036926269,-80.64530181884766
GCK,GCK Airport,37.9275016785,-100.723999023
PSP,PSP Airport,33.8297004699707,-116.50700378417967
JNU,JNU Airport,58.35499954223633,-134.5760040283203
PSC,PSC Airport,46.26470184326172,-119.11900329589844
SUN,SUN Airport,43.50439835,-114.2959976
MBS,MBS Airport,43.532901763916016,-84.07959747314453
PVU,PVU Airport,40.219200134277,-111.72299957275
FOD,FOD Airport,42.55149841,-94.19259644
CGI,CGI Airport,37.22529983520508,-89.57080078125
LBF,LBF Airport,41.12620163,-100.6839981
SLN,SLN Airport,38.79100036621094,-97.6521987915039
BOS,BOS Airport,42.36429977,-71.00520325
MKE,MKE Airport,42.94720077514648,-87.89659881591797
BOI,BOI Airport,43.5644,-116.223
DEN,DEN Airport,39.861698150635,-104.672996521
HNL,HNL Airport,21.32062,-157.924228
CAE,CAE Airport,33.93880081176758,-81.11949920654297
EWR,EWR Airport,40.692501068115234,-74.168701171875
BUF,BUF Airport,42.94049835,-78.73220062
RIC,RIC Airport,37.50519943237305,-77.3197021484375
GJT,GJT Airport,39.1223983765,-108.527000427
COU,COU Airport,38.81809997558594,-92.21959686279295
PIA,PIA Airport,40.664199829100006,-89.6932983398
EUG,EUG Airport,44.12459945678711,-123.21199798583984
OAK,OAK Airport,37.721298,-122.221001
PAE,PAE Airport,47.90629959,-122.2819977
PSG,PSG Airport,56.80170059,-132.9450073
EKO,EKO Airport,40.82490158081055,-115.79199981689452
VLD,VLD Airport,30.78249931335449,-83.27670288085938
MKG,MKG Airport,43.16949844,-86.23819733
CMX,CMX Airport,47.168399810791016,-88.48909759521484
OGS,OGS Airport,44.6819000244,-75.46549987790002
LRD,LRD Airport,27.543800354003903,-99.46160125732422
LGA,LGA Airport,40.77719879,-73.87259674
ABQ,ABQ Airport,35.040199,-106.609001
EWN,EWN Airport,35.0730018616,-77.04290008539999
MSY,MSY Airport,29.99340057373047,-90.25800323486328
MHK,MHK Airport,39.14099884033203,-96.6707992553711
SAF,SAF Airport,35.617099762,-106.088996887
ORF,ORF Airport,36.89459991455078,-76.20120239257812
TRI,TRI Airport,36.475201,-82.407401
STS,STS Airport,38.50899887,-122.8130035
GGG,GGG Airport,32.38399887084961,-94.71150207519533
XNA,XNA Airport,36.281898,-94.306801
FLG,FLG Airport,35.13850021,-111.6709976
VPS,VPS Airport,30.4832,-86.525398
ORH,ORH Airport,42.26729965209961,-71.87570190429688
ROC,ROC Airport,43.118900299072266,-77.67240142822266
JAN,JAN Airport,32.3111991882,-90.0758972168
FAR,FAR Airport,46.92070007324219,-96.81580352783205
MRY,MRY Airport,36.58700180053711,-121.84300231933594
CLL,CLL Airport,30.58860016,-96.36380005
CDV,CDV Airport,60.4917984,-145.4779968
ADK,ADK Airport,51.87799835205078,-176.64599609375
HIB,HIB Airport,47.38660049,-92.83899689
PIH,PIH Airport,42.9098014831543,-112.59600067138672
SFB,SFB Airport,28.7775993347168,-81.23750305175781
LCK,LCK Airport,39.813801,-82.927803
PSM,PSM Airport,43.0778999329,-70.8233032227
GCC,GCC Airport,44.3488998413,-105.539001465
MIA,MIA Airport,25.79319953918457,-80.29060363769531
HPN,HPN Airport,41.06700134277344,-73.70760345458984
MSN,MSN Airport,43.13990020751953,-89.3375015258789
BZN,BZN Airport,45.77750015,-111.1529999
CHO,CHO Airport,38.13859939575195,-78.4529037475586
MHT,MHT Airport,42.932598,-71.435699
LIH,LIH Airport,21.97599983215332,-159.33900451660156
ERI,ERI Airport,42.0831270134,-80.1738667488
BIS,BIS Airport,46.77270126342773,-100.74600219726562
PUW,PUW Airport,46.7439,-117.110001
DLG,DLG Airport,59.04470062,-158.5050049
GST,GST Airport,58.4253006,-135.7070007
CNY,CNY Airport,38.75500107,-109.7549973
LWS,LWS Airport,46.3745002746582,-117.01499938964844
TWF,TWF Airport,42.4818,-114.487999
SHR,SHR Airport,44.76919937133789,-106.9800033569336
GUM,GUM Airport,13.4834003448,144.796005249
DEC,DEC Airport,39.834598541259766,-88.8656997680664
HOB,HOB Airport,32.6875,-103.2170029
TBN,TBN Airport,37.74160004,-92.14070129
MYR,MYR Airport,33.6796989441,-78.9282989502
DCA,DCA Airport,38.8521,-77.037697
JFK,JFK Airport,40.63980103,-73.77890015
AUS,AUS Airport,30.194499969482425,-97.6698989868164
STX,STX Airport,17.701900482177734,-64.79859924316406
LIT,LIT Airport,34.729400634799994,-92.2242965698
BTR,BTR Airport,30.533199,-91.149597
OMA,OMA Airport,41.3032,-95.894096
GPT,GPT Airport,30.40730094909668,-89.07009887695312
AZO,AZO Airport,42.234901428222656,-85.5521011352539
CHS,CHS Airport,32.89860153,-80.04049683
SHV,SHV Airport,32.446602,-93.8256
CMI,CMI Airport,40.03919983,-88.27809906
SBN,SBN Airport,41.70869827270508,-86.31729888916016
LFT,LFT Airport,30.20529938,-91.98760223
CSG,CSG Airport,32.516300201416016,-84.93890380859375
SRQ,SRQ Airport,27.39539909362793,-82.55439758300781
COS,COS Airport,38.805801,-104.700996
BMI,BMI Airport,40.47710037,-88.91590118
ALW,ALW Airport,46.09489822,-118.288002
MVY,MVY Airport,41.3931007385,-70.6143035889
BJI,BJI Airport,47.50939941,-94.93370056
ELM,ELM Airport,42.1599006652832,-76.8916015625
HRL,HRL Airport,26.228500366210938,-97.65440368652344
PBI,PBI Airport,26.68320083618164,-80.09559631347656
AGS,AGS Airport,33.36989974975586,-81.9645004272461
FLL,FLL Airport,26.072599,-80.152702
FSD,FSD Airport,43.5820007324,-96.741897583
BHM,BHM Airport,33.56290054,-86.75350189
ROA,ROA Airport,37.3255,-79.975403
AVL,AVL Airport,35.43619918823242,-82.54180145263672
SPS,SPS Airport,33.9888,-98.491898
TYR,TYR Airport,32.35409927368164,-95.40239715576172
IAD,IAD Airport,38.94449997,-77.45580292
DBQ,DBQ Airport,42.40200043,-90.70950317
LAW,LAW Airport,34.5676994324,-98.4166030884
AEX,AEX Airport,31.32740020751953,-92.54979705810548
MSO,MSO Airport,46.91630173,-114.0910034
TOL,TOL Airport,41.58679962,-83.80780029
HDN,HDN Airport,40.48120117,-107.2180023
HHH,HHH Airport,32.2243995667,-80.6975021362
ADQ,ADQ Airport,57.75,-152.4940033
YAK,YAK Airport,59.5032997131,-139.660003662
ITO,ITO Airport,19.721399307250977,-155.04800415039062
LBL,LBL Airport,37.0442009,-100.9599991
MEI,MEI Airport,32.33259963989258,-88.75189971923828
